date,ensemble
2024-02-14,1000000.0
2024-02-15,1000641.8048342704
2024-02-16,1000718.9381418228
2024-02-20,997895.514487076
2024-02-21,994794.680342007
2024-02-22,1000371.8579501152
2024-02-23,1006295.767612648
2024-02-26,1005121.5228732112
2024-02-27,1000480.2271194462
2024-02-28,999222.1823942187
2024-02-29,1005242.930680752
2024-03-01,1025648.2411376004
2024-03-04,1037861.7809090615
2024-03-05,1033682.1965788844
2024-03-06,1046409.3451225284
2024-03-07,1055470.076539326
2024-03-08,1068730.3595821382
2024-03-11,1049139.749801064
2024-03-12,1051186.7996250156
2024-03-13,1041958.808724976
2024-03-14,1039304.0979059222
2024-03-15,1010395.3260439342
2024-03-18,1030592.7388573976
2024-03-19,1009843.7895496238
2024-03-20,1012629.3567229828
2024-03-21,1032925.9862871612
2024-03-22,1020770.5085925736
2024-03-25,1005469.3611667256
2024-03-26,1019481.7591130508
2024-03-27,1016740.716419431
2024-03-28,1029576.4781216148
2024-04-01,1026576.3673403496
2024-04-02,1020914.4923475536
2024-04-03,1008050.4176194748
2024-04-04,1040082.1006845926
2024-04-05,1010041.806727836
2024-04-08,1028573.8922649148
2024-04-09,1027305.2701888907
2024-04-10,1010612.3248966088
2024-04-11,1020430.1790970786
2024-04-12,1010581.5006688942
2024-04-15,1009102.5784648764
2024-04-16,987376.0410255302
2024-04-17,1000900.4662612784
2024-04-18,982896.8769191612
2024-04-19,971258.7812856544
2024-04-22,963997.5756877768
2024-04-23,981131.5992463937
2024-04-24,1000818.828240763
2024-04-25,982576.259026896
2024-04-26,995562.1559070456
2024-04-29,1015411.233199488
2024-04-30,1015215.1055120338
2024-05-01,983110.3888658392
2024-05-02,980723.1525901664
2024-05-03,1002989.1811364996
2024-05-06,1013487.32651652
2024-05-07,1024518.8941472876
2024-05-08,1011675.5641330588
2024-05-09,1016897.4015859474
2024-05-10,1023963.004774462
2024-05-13,1025778.7524703848
2024-05-14,1024752.9826936908
2024-05-15,1024752.9826936908
2024-05-16,1025152.7438753238
2024-05-17,1024307.2698510968
2024-05-20,1023859.6864731022
2024-05-21,1023549.1701497522
2024-05-22,1023923.2950460572
2024-05-23,1024007.272278626
2024-05-24,1023635.2548181388
2024-05-28,1024831.3076153664
2024-05-29,1023870.4082621208
2024-05-30,1023112.7606026815
2024-05-31,1024349.6285669112
2024-06-03,1035979.278254564
2024-06-04,1026094.2305413316
2024-06-05,1025868.9277383264
2024-06-06,1029964.1177226278
2024-06-07,1033690.4319707014
2024-06-10,1027108.2004877244
2024-06-11,1022326.714923872
2024-06-12,1028047.5452370116
2024-06-13,1024736.0854765364
2024-06-14,1025361.9533240496
2024-06-17,1024505.9941330552
2024-06-18,1022300.5439239546
2024-06-20,1021975.1957516684
2024-06-21,1023518.2397319408
2024-06-24,1021698.8494677998
2024-06-25,1020405.2366191888
2024-06-26,1020658.7952438762
2024-06-27,1020994.2504870069
2024-06-28,1022322.2491702572
2024-07-01,1020633.3753881336
2024-07-02,1018661.8133264298
2024-07-03,1022036.5098803048
2024-07-05,1022349.629268412
2024-07-08,1023893.439067184
2024-07-09,1024987.5422602448
2024-07-10,1026474.801986714
2024-07-11,1029661.0337592404
2024-07-12,1029182.7992057832
2024-07-15,1032139.2179795136
2024-07-16,1031657.2702426373
2024-07-17,1029947.086119824
2024-07-18,1026495.574206243
2024-07-19,1018371.1527763878
2024-07-22,1015998.5249778628
2024-07-23,1015860.905935699
2024-07-24,1014688.2709753888
2024-07-25,1004117.5999621178
2024-07-26,1003419.5885178172
2024-07-29,1002384.0050435624
2024-07-30,1001605.4314078032
2024-07-31,1006265.3609605252
2024-08-01,1005578.0712480056
2024-08-02,990776.244220644
2024-08-05,990472.5766618918
2024-08-06,991290.4856070096
2024-08-07,991384.4471563984
2024-08-08,991560.26165875
2024-08-09,992188.9394508068
2024-08-12,992982.0628291648
2024-08-13,993626.916248568
2024-08-14,994495.709417454
