,mode,model_type,trial,episode,return,hash_id,config,config_str
0,training,a2c,1,1,-0.08271268628509121,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
5,training,a2c,1,2,-0.5796540737911982,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
10,training,a2c,1,3,-0.5590009710669464,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
15,training,a2c,1,4,-0.438932829283189,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
20,training,a2c,1,5,-0.2873594925685885,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
25,training,a2c,1,6,-0.07661568011414699,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
30,training,a2c,1,7,-0.588074752045942,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
35,training,a2c,1,8,-0.37620266997739116,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
40,training,a2c,1,9,0.7539532322850524,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
45,training,a2c,1,10,0.07361841420826498,78c00cddbd6d8095ff804528fcb63201,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:1'}",8fd30e9e3ac142eb630843abeeb09434
50,training,a2c,2,1,-0.19854667994978958,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
55,training,a2c,2,2,-0.22440320793355228,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
60,training,a2c,2,3,-0.3392802567268196,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
65,training,a2c,2,4,-0.5094922549665462,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
70,training,a2c,2,5,-0.12390741221062562,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
75,training,a2c,2,6,-0.2782680992476795,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
80,training,a2c,2,7,0.1736598207965785,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
85,training,a2c,2,8,0.09266146854428636,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
