,hash_id,model_name,config,r,config_str
0,91b63f75a10d27395e0d93abc737e00e,a2c,"{'learning_rate': 0.0007, 'n_steps': 5, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': True, 'use_rms_prop': False, 'name': 'variant_1'}",0.11706510000000003,0fba0cc3795c0b8e1bfc11f7f50b0efd
1,90ee06cb6b21a8fad065cc0db7a5b6f5,ppo,"{'learning_rate': 0.0001, 'n_steps': 2048, 'batch_size': 128, 'gamma': 0.98, 'ent_coef': 0.001, 'clip_range': 0.2, 'gae_lambda': 0.95, 'name': 'variant_1'}",-0.9508882999999982,4e00d3ca579a68c3fa832bc5195b820e
2,545ec778cab06701275fe31e977465cb,ddpg,"{'learning_rate': 1e-05, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_1'}",-0.45459899999999986,f297119c871dae157594f80e2e11e983
3,c0ffc87f9c8d7f0d110802006f949683,sac,"{'learning_rate': 0.001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'ent_coef': 'auto', 'name': 'variant_1'}",0.0,30d590aec4a8383e3ae908ee8cdaaf42
4,1c150381719175599535a448e95987c4,td3,"{'learning_rate': 0.0001, 'batch_size': 64, 'buffer_size': 1000000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_1'}",0.0,90821d6bbf5afb63702343c0b7d8fa2e
5,e36e99e3012b0fdd9b5a2b5714ee0457,a2c,"{'learning_rate': 0.0007, 'n_steps': 5, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': True, 'use_rms_prop': False, 'name': 'variant_2'}",-0.0051915000000000155,0fba0cc3795c0b8e1bfc11f7f50b0efd
6,2cb9860933160b730d6838ce427ee9f7,ppo,"{'learning_rate': 0.0001, 'n_steps': 2048, 'batch_size': 128, 'gamma': 0.98, 'ent_coef': 0.001, 'clip_range': 0.2, 'gae_lambda': 0.95, 'name': 'variant_2'}",-0.9872275999999979,4e00d3ca579a68c3fa832bc5195b820e
7,7bd3ba5ea8c7d3510bbcff1320f8d4c6,ddpg,"{'learning_rate': 1e-05, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_2'}",0.0,f297119c871dae157594f80e2e11e983
8,047f056cedf4de57b06407ffbe7b8314,sac,"{'learning_rate': 0.001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'ent_coef': 'auto', 'name': 'variant_2'}",-0.45459899999999986,30d590aec4a8383e3ae908ee8cdaaf42
9,93e92ec0b36e18dd1d951371d287c1f0,td3,"{'learning_rate': 0.0001, 'batch_size': 64, 'buffer_size': 1000000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_2'}",-0.45459899999999986,90821d6bbf5afb63702343c0b7d8fa2e
10,9589a2d2cb975868c578c5fc68865be0,a2c,"{'learning_rate': 0.0007, 'n_steps': 5, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': True, 'use_rms_prop': False, 'name': 'variant_3'}",0.0,0fba0cc3795c0b8e1bfc11f7f50b0efd
11,3147b32829bbbac001ee6d4d2d1ff9c6,ppo,"{'learning_rate': 0.0001, 'n_steps': 2048, 'batch_size': 128, 'gamma': 0.98, 'ent_coef': 0.001, 'clip_range': 0.2, 'gae_lambda': 0.95, 'name': 'variant_3'}",2.793795700000008,4e00d3ca579a68c3fa832bc5195b820e
