account_rewards,date
-51.418122100876644,2024-01-26
-12.371183013892733,2024-01-29
-334.3665420531761,2024-01-30
227.74373245239258,2024-01-31
-79.31576309201773,2024-02-01
-232.3006408691872,2024-02-02
51.73928184504621,2024-02-05
147.72890129091684,2024-02-06
-157.28735198976938,2024-02-07
-174.273983764695,2024-02-08
919.7451679229271,2024-02-09
-472.3382675170433,2024-02-12
1061.6996032714378,2024-02-13
1311.6160774230957,2024-02-14
-1099.4753131866455,2024-02-15
363.5962677001953,2024-02-16
369.57607536320575,2024-02-20
355.553373336792,2024-02-21
-2949.4665504455334,2024-02-22
735.6848636626964,2024-02-23
-529.3499999999767,2024-02-26
-1786.3280212401878,2024-02-27
-165.2432979583973,2024-02-28
2491.7651973724132,2024-02-29
2145.6605258941418,2024-03-01
749.5753803253174,2024-03-04
-1705.4588840485085,2024-03-05
4531.604009246803,2024-03-06
2576.443230056786,2024-03-07
-7714.643084335374,2024-03-08
3684.62056846614,2024-03-11
-1764.5157657623058,2024-03-12
-4228.4469715118175,2024-03-13
-2656.3188495635986,2024-03-14
2235.752863693284,2024-03-15
-3028.309549331665,2024-03-18
2733.7812103271717,2024-03-19
-4.299000167869963,2024-03-20
-2890.305546188378,2024-03-21
-5444.227441406227,2024-03-22
4341.916630554246,2024-03-25
2473.8056407928234,2024-03-26
5241.734845733619,2024-03-27
2327.635413742042,2024-03-28
-1624.4317466735374,2024-04-01
-11642.387384796166,2024-04-02
-3811.146454620408,2024-04-03
-5956.067056655884,2024-04-04
-3482.930513763451,2024-04-05
-2953.8647628783947,2024-04-08
-156.79877433774527,2024-04-09
-3071.8027935028076,2024-04-10
-3925.751895904541,2024-04-11
-3513.6566402434837,2024-04-12
1261.393482208252,2024-04-15
-955.6381084441673,2024-04-16
-3879.6117393493187,2024-04-17
-1685.5251846313477,2024-04-18
-4192.530105209327,2024-04-19
