account_rewards,date
0.0,2021-10-01
0.0,2021-10-04
0.0,2021-10-05
0.0,2021-10-06
0.0,2021-10-07
0.0,2021-10-08
0.0,2021-10-11
0.0,2021-10-12
99800.0,2021-10-13
199700.0,2021-10-14
299600.0,2021-10-15
233971.5,2021-10-18
304973.4000000004,2021-10-19
256157.69999999972,2021-10-20
155700.0,2021-10-21
152665.80000000028,2021-10-22
139368.0,2021-10-25
167093.09999999963,2021-10-26
66200.0,2021-10-27
123659.0,2021-10-28
23000.0,2021-10-29
67838.5,2021-11-01
-1096.0,2021-11-02
39909.799999999814,2021-11-03
74773.6000000001,2021-11-04
27405.100000000093,2021-11-05
-130300.0,2021-11-08
-30200.0,2021-11-09
-509.39999999990687,2021-11-10
0.0,2021-11-11
0.0,2021-11-12
-9541.0,2021-11-15
-131.60000000009313,2021-11-16
0.0,2021-11-17
-93610.0,2021-11-18
-1017.5,2021-11-19
0.0,2021-11-22
0.0,2021-11-23
0.0,2021-11-24
0.0,2021-11-26
0.0,2021-11-29
0.0,2021-11-30
0.0,2021-12-01
-43329.60000000009,2021-12-02
-86.39999999990687,2021-12-03
0.0,2021-12-06
99800.0,2021-12-07
199700.0,2021-12-08
299600.0,2021-12-09
399500.0,2021-12-10
499400.0,2021-12-13
399300.0,2021-12-14
299200.0,2021-12-15
288800.0999999996,2021-12-16
337905.0,2021-12-17
329199.9000000004,2021-12-20
228100.0,2021-12-21
280525.2999999998,2021-12-22
179800.0,2021-12-23
153084.5,2021-12-27
51900.0,2021-12-28
151800.0,2021-12-29
113594.40000000037,2021-12-30
12400.0,2021-12-31
-286.0,2022-01-03
0.0,2022-01-04
0.0,2022-01-05
0.0,2022-01-06
0.0,2022-01-07
0.0,2022-01-10
0.0,2022-01-11
-83876.39999999944,2022-01-12
-60866.40000000037,2022-01-13
-666.5999999996275,2022-01-14
0.0,2022-01-18
0.0,2022-01-19
0.0,2022-01-20
0.0,2022-01-21
-301.79999999981374,2022-01-24
-2511.0,2022-01-25
-10.0,2022-01-26
0.0,2022-01-27
0.0,2022-01-28
0.0,2022-01-31
0.0,2022-02-01
99700.0,2022-02-02
199600.0,2022-02-03
299500.0,2022-02-04
399400.0,2022-02-07
499299.99999999907,2022-02-08
433976.0,2022-02-09
470374.2000000011,2022-02-10
369700.0,2022-02-11
317015.9000000004,2022-02-14
216400.0,2022-02-15
238919.19999999925,2022-02-16
137800.0,2022-02-17
144026.5,2022-02-18
226165.59999999963,2022-02-22
139326.09999999963,2022-02-23
56306.0,2022-02-24
130099.69999999925,2022-02-25
-63096.0,2022-02-28
-84016.09999999963,2022-03-01
-83305.40000000037,2022-03-02
-1416.0999999996275,2022-03-03
0.0,2022-03-04
-64249.5,2022-03-07
-886.1999999992549,2022-03-08
0.0,2022-03-09
0.0,2022-03-10
0.0,2022-03-11
0.0,2022-03-14
0.0,2022-03-15
0.0,2022-03-16
-100700.0,2022-03-17
-600.0,2022-03-18
0.0,2022-03-21
0.0,2022-03-22
0.0,2022-03-23
0.0,2022-03-24
0.0,2022-03-25
28443.0,2022-03-28
128200.0,2022-03-29
228100.0,2022-03-30
328000.0,2022-03-31
427900.0,2022-04-01
527800.0,2022-04-04
627700.0,2022-04-05
529517.0999999996,2022-04-06
429400.0,2022-04-07
329300.0,2022-04-08
266441.5999999996,2022-04-11
209256.40000000037,2022-04-12
308600.0,2022-04-13
254784.0,2022-04-14
154000.0,2022-04-18
81765.80000000075,2022-04-19
132591.0,2022-04-20
231600.0,2022-04-21
-135500.0,2022-04-22
-35400.0,2022-04-25
-603.0,2022-04-26
0.0,2022-04-27
