account_rewards,date
9544.225128769176,2024-02-14
4783.972992149298,2024-02-15
-12883.755261611892,2024-02-16
-3441.0488645172445,2024-02-20
15385.7181482811,2024-02-21
2117.3300195656484,2024-02-22
-5200.397999811103,2024-02-23
2096.876586861559,2024-02-26
-7329.119537955266,2024-02-27
-1425.7234519843478,2024-02-28
-2525.3083927173866,2024-02-29
-1001.1124002751894,2024-03-01
-10609.423294608947,2024-03-04
-1926.6867631960195,2024-03-05
2714.5850998726673,2024-03-06
4647.847565341974,2024-03-07
-12724.713956686086,2024-03-08
-3705.2150067642797,2024-03-11
6336.042781412136,2024-03-12
5698.137107491493,2024-03-13
-23931.08484509855,2024-03-14
2666.751855196082,2024-03-15
-6098.469824951142,2024-03-18
11381.463293140405,2024-03-19
14165.238396122004,2024-03-20
2649.8077748784563,2024-03-21
-5787.898215278634,2024-03-22
-459.68825780577026,2024-03-25
1300.622926361044,2024-03-26
-6960.6408076782245,2024-03-27
-2935.068202735856,2024-03-28
-13207.438791582128,2024-04-01
-8265.069043354015,2024-04-02
16885.12355020712,2024-04-03
-19076.08679079055,2024-04-04
8120.4899121094495,2024-04-05
5092.495881490759,2024-04-08
-12268.645668238634,2024-04-09
3091.618007816258,2024-04-10
-7239.93516139593,2024-04-11
-1955.0095604105154,2024-04-12
-21729.319356239168,2024-04-15
3410.4479314432247,2024-04-16
-6468.597377761849,2024-04-17
-8156.870937236818,2024-04-18
-984.9574494046392,2024-04-19
2142.734148945776,2024-04-22
16791.707621674635,2024-04-23
-11000.450100616436,2024-04-24
1419.2849081306485,2024-04-25
8656.59698836517,2024-04-26
-368.0408129368443,2024-04-29
-25442.437625411898,2024-04-30
6468.241915922146,2024-05-01
15442.717009113287,2024-05-02
6674.15072340006,2024-05-03
2567.7705366401933,2024-05-06
-7472.56395196903,2024-05-07
3299.7536899185507,2024-05-08
7333.000434631365,2024-05-09
5418.163751942571,2024-05-10
-8778.794552332838,2024-05-13
