date,AAPL,AMD,BEN,CMCSA,CSCO,F,GE,GME,INTC,LVS,PARA,PCG,PRGO,VZ
2024-01-26,0,0,56,98,0,0,90,79,0,25,0,0,100,98
2024-01-29,0,68,100,-98,72,62,100,30,0,100,100,23,-22,100
2024-01-30,0,-5,-91,21,-64,36,47,-85,89,100,-65,10,-17,-88
2024-01-31,0,-63,100,41,34,-83,31,69,-85,-100,100,100,98,65
2024-02-01,0,0,-100,46,-42,96,-100,100,-4,19,100,58,-100,100
2024-02-02,51,100,32,-100,0,-100,100,-70,0,-100,90,-100,63,62
2024-02-05,84,-14,-67,100,80,73,13,82,100,-44,-90,51,59,51
2024-02-06,-8,-21,100,60,100,-84,-100,-100,-12,0,100,71,-83,66
2024-02-07,-62,1,-56,87,45,100,74,-13,34,93,5,-97,21,100
2024-02-08,72,3,0,100,-7,-62,51,72,3,-11,-100,100,-51,100
2024-02-09,-100,-69,-74,100,-39,30,100,65,-26,100,100,51,100,-24
2024-02-12,-37,100,0,62,100,90,-100,-100,-5,79,48,100,81,-46
2024-02-13,100,-80,3,58,-100,-100,-25,85,71,-100,100,-35,72,-61
2024-02-14,-100,82,100,-44,62,100,100,-100,100,100,-91,59,8,-33
2024-02-15,10,100,-100,-76,-43,-100,64,16,-14,-64,97,-99,19,-100
2024-02-16,100,29,31,-100,-100,-29,-92,100,6,-100,-100,0,-100,-100
2024-02-20,-77,52,100,100,21,-29,21,-7,-46,100,-59,47,100,100
2024-02-21,100,17,-100,16,-85,0,-100,26,42,-56,-100,-12,-100,-100
2024-02-22,-100,52,-34,40,16,54,64,-78,22,25,45,-38,-38,-83
2024-02-23,100,-87,0,63,80,-54,-4,-75,11,45,-9,100,84,-91
2024-02-26,-100,-100,0,8,100,100,-98,100,15,-71,42,-96,83,91
2024-02-27,-12,54,0,-31,100,100,100,100,-15,-100,23,-100,100,-65
2024-02-28,-21,54,0,100,100,100,-37,100,24,-40,-72,-89,-80,-98
2024-02-29,0,51,0,-100,53,16,100,67,28,100,-100,45,27,-44
2024-03-01,0,-11,0,-100,100,-66,-38,-19,100,11,100,63,54,100
2024-03-04,0,-24,44,100,97,-100,-100,-54,100,22,-86,-55,-1,-100
2024-03-05,0,-56,100,100,47,69,21,4,7,42,-61,-59,100,86
2024-03-06,0,-10,0,-98,100,100,72,26,87,65,28,100,28,100
2024-03-07,0,-100,-61,-52,68,-59,100,61,100,-100,31,28,0,-9
2024-03-08,21,53,-83,-36,20,100,-63,100,28,-100,7,-100,100,-100
2024-03-11,-21,100,0,-50,61,-75,100,61,97,-40,-95,-19,100,-63
2024-03-12,100,71,0,-40,28,100,-100,-100,-100,0,-88,-2,-81,26
2024-03-13,52,-16,56,23,-40,100,34,55,-4,0,0,63,-46,100
2024-03-14,95,100,-56,37,72,-85,-40,82,100,28,74,76,14,-100
2024-03-15,-4,57,72,15,-100,-100,100,100,-100,1,100,-100,-93,53
2024-03-18,-100,-100,-29,32,4,-100,45,100,-5,-29,16,19,-100,-46
2024-03-19,100,-100,2,-22,66,-100,-100,-100,28,0,100,98,-42,-25
2024-03-20,24,100,-22,-25,-81,-57,66,-100,-100,0,100,-100,-87,37
2024-03-21,-64,88,-23,24,-100,-15,-72,100,21,100,-21,44,25,-59
2024-03-22,66,27,6,42,-100,-28,-58,86,61,-100,17,27,100,100
2024-03-25,26,89,100,-100,15,0,-98,-45,-100,100,78,76,100,45
2024-03-26,-39,-99,100,33,-100,0,-84,-50,20,-38,69,-84,5,-100
2024-03-27,-100,64,-91,-71,24,0,-73,61,2,9,100,-33,20,100
2024-03-28,51,-32,-92,-100,-100,23,92,-61,85,-48,-32,28,26,93
2024-04-01,-49,82,48,42,-5,-23,-21,-59,42,-23,90,-8,73,40
2024-04-02,100,14,20,-30,-36,32,49,-100,34,0,-100,-40,100,-47
2024-04-03,100,38,80,-100,-100,-4,96,-16,-10,29,-15,100,21,-100
2024-04-04,-100,67,52,-44,35,27,-6,5,13,100,3,-100,-41,-100
2024-04-05,-100,-31,-33,68,20,100,-9,-53,-61,-100,100,90,-38,48
2024-04-08,-84,-50,-19,-62,30,62,100,54,-60,100,100,100,40,56
2024-04-09,44,-4,74,23,-2,22,9,-92,0,-100,-55,-7,42,100
2024-04-10,100,-100,27,42,39,-33,57,66,-100,-29,-5,4,95,-100
2024-04-11,-78,-100,-4,-100,-100,48,10,-100,62,0,-27,30,100,-7
2024-04-12,-85,74,100,-85,-4,22,-100,55,100,0,-31,35,74,-100
2024-04-15,0,-69,100,-17,100,100,23,100,-100,0,-100,-90,-38,-17
2024-04-16,91,48,-100,0,-81,7,21,-68,39,0,44,-100,-40,90
2024-04-17,-20,14,11,0,3,-26,-27,100,-4,75,100,-9,-6,100
2024-04-18,-100,-25,41,0,50,-100,-10,32,-3,100,-100,100,7,-58
2024-04-19,32,100,46,0,100,-100,-30,29,-1,100,6,-100,-18,100
