date,F,INTC
2024-07-19,100,0
2024-07-22,100,0
2024-07-23,100,0
2024-07-24,100,0
2024-07-25,-400,0
2024-07-26,100,0
2024-07-29,100,0
2024-07-30,100,0
2024-07-31,100,0
2024-08-01,100,0
2024-08-02,-500,0
2024-08-05,0,0
2024-08-06,100,0
2024-08-07,100,0
2024-08-08,100,0
2024-08-09,100,0
2024-08-12,100,0
2024-08-13,100,0
2024-08-14,100,0
2024-08-15,100,0
2024-08-16,100,0
2024-08-19,100,0
2024-08-20,100,0
2024-08-21,100,0
2024-08-22,100,0
2024-08-23,100,0
2024-08-26,100,0
2024-08-27,100,0
2024-08-28,100,0
2024-08-29,100,0
2024-08-30,100,0
2024-09-03,100,0
2024-09-04,100,0
2024-09-05,100,0
2024-09-06,100,0
2024-09-09,100,0
2024-09-10,100,0
2024-09-11,100,0
2024-09-12,100,0
2024-09-13,100,0
2024-09-16,100,0
2024-09-17,100,0
2024-09-18,100,0
2024-09-19,100,0
2024-09-20,100,0
2024-09-23,100,0
2024-09-24,100,0
2024-09-25,100,0
2024-09-26,100,0
2024-09-27,100,0
2024-09-30,100,0
2024-10-01,100,0
2024-10-02,100,0
2024-10-03,100,0
2024-10-04,100,0
2024-10-07,100,0
2024-10-08,100,0
2024-10-09,100,0
2024-10-10,100,0
