date,F,INTC
2024-01-26,0,100
2024-01-29,0,100
2024-01-30,0,100
2024-01-31,0,100
2024-02-01,0,100
2024-02-02,0,100
2024-02-05,0,100
2024-02-06,0,100
2024-02-07,0,100
2024-02-08,0,100
2024-02-09,0,100
2024-02-12,0,100
2024-02-13,0,100
2024-02-14,0,100
2024-02-15,0,100
2024-02-16,0,100
2024-02-20,0,100
2024-02-21,0,100
2024-02-22,0,100
2024-02-23,0,100
2024-02-26,0,100
2024-02-27,0,100
2024-02-28,0,100
2024-02-29,0,100
2024-03-01,0,100
2024-03-04,0,100
2024-03-05,0,100
2024-03-06,0,100
2024-03-07,0,100
2024-03-08,0,100
2024-03-11,0,100
2024-03-12,0,100
2024-03-13,0,100
2024-03-14,0,100
2024-03-15,0,100
2024-03-18,0,100
2024-03-19,0,100
2024-03-20,0,100
2024-03-21,0,100
2024-03-22,0,100
2024-03-25,0,100
2024-03-26,0,100
2024-03-27,0,100
2024-03-28,0,100
2024-04-01,0,100
2024-04-02,0,100
2024-04-03,0,100
2024-04-04,0,100
2024-04-05,0,100
2024-04-08,0,100
2024-04-09,0,100
2024-04-10,0,100
2024-04-11,0,100
2024-04-12,0,100
2024-04-15,0,100
2024-04-16,0,100
2024-04-17,0,100
2024-04-18,0,100
2024-04-19,0,100
