,date,actions
0,2021-10-01,[0]
1,2021-10-04,[0]
2,2021-10-05,[0]
3,2021-10-06,[0]
4,2021-10-07,[0]
5,2021-10-08,[0]
6,2021-10-11,[0]
7,2021-10-12,[0]
8,2021-10-13,[1000]
9,2021-10-14,[1000]
10,2021-10-15,[1000]
11,2021-10-18,[-657]
12,2021-10-19,[711]
13,2021-10-20,[-489]
14,2021-10-21,[-1000]
15,2021-10-22,[-38]
16,2021-10-25,[-132]
17,2021-10-26,[279]
18,2021-10-27,[-1000]
19,2021-10-28,[570]
20,2021-10-29,[-1000]
21,2021-11-01,[441]
22,2021-11-02,[-685]
23,2021-11-03,[406]
24,2021-11-04,[348]
25,2021-11-05,[-471]
26,2021-11-08,[1000]
27,2021-11-09,[-1000]
28,2021-11-10,[-283]
29,2021-11-11,[0]
30,2021-11-12,[0]
31,2021-11-15,[94]
32,2021-11-16,[-94]
33,2021-11-17,[0]
34,2021-11-18,[925]
35,2021-11-19,[-925]
36,2021-11-22,[0]
37,2021-11-23,[0]
38,2021-11-24,[0]
39,2021-11-26,[0]
40,2021-11-29,[0]
41,2021-11-30,[0]
42,2021-12-01,[0]
43,2021-12-02,[432]
44,2021-12-03,[-432]
45,2021-12-06,[0]
46,2021-12-07,[1000]
47,2021-12-08,[1000]
48,2021-12-09,[1000]
49,2021-12-10,[1000]
50,2021-12-13,[1000]
51,2021-12-14,[-1000]
52,2021-12-15,[-1000]
53,2021-12-16,[-111]
54,2021-12-17,[495]
55,2021-12-20,[-91]
56,2021-12-21,[-1000]
57,2021-12-22,[519]
58,2021-12-23,[-1000]
59,2021-12-27,[-277]
60,2021-12-28,[-1000]
61,2021-12-29,[1000]
62,2021-12-30,[-392]
63,2021-12-31,[-1000]
64,2022-01-03,[-143]
65,2022-01-04,[0]
66,2022-01-05,[0]
67,2022-01-06,[0]
68,2022-01-07,[0]
69,2022-01-10,[0]
70,2022-01-11,[0]
71,2022-01-12,[828]
72,2022-01-13,[-222]
73,2022-01-14,[-606]
74,2022-01-18,[0]
75,2022-01-19,[0]
76,2022-01-20,[0]
77,2022-01-21,[0]
78,2022-01-24,[3]
79,2022-01-25,[22]
80,2022-01-26,[-25]
81,2022-01-27,[0]
82,2022-01-28,[0]
83,2022-01-31,[0]
84,2022-02-01,[0]
85,2022-02-02,[1000]
86,2022-02-03,[1000]
87,2022-02-04,[1000]
88,2022-02-07,[1000]
89,2022-02-08,[1000]
90,2022-02-09,[-655]
91,2022-02-10,[362]
92,2022-02-11,[-1000]
93,2022-02-14,[-531]
94,2022-02-15,[-1000]
95,2022-02-16,[216]
96,2022-02-17,[-1000]
