,mode,model_type,trial,episode,return,hash_id,config,config_str
0,training,model_6,1,1,2.0263184711455806,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
1,training,model_6,1,2,3.7128112753906173,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
2,training,model_6,1,3,1.9462580017896136,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
3,training,model_6,1,4,0.7059825007942735,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
4,training,model_6,1,5,1.304589323583481,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
5,training,model_6,1,6,2.1311934978801537,06db287dcf07f0b6863c92b1385ffe32,"{'learning_rate': 0.001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:1'}",41e9befa126e447fc6e6e633f0db2aed
6,training,model_6,2,1,1.2148888938268088,0f1b906927365bd08b8946a33c855328,"{'learning_rate': 0.0010001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:2'}",ead679f35d803cbeb5bb5a781358e3f5
7,training,model_6,2,2,1.0070222804795281,0f1b906927365bd08b8946a33c855328,"{'learning_rate': 0.0010001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:2'}",ead679f35d803cbeb5bb5a781358e3f5
8,training,model_6,2,3,1.2278457518506527,0f1b906927365bd08b8946a33c855328,"{'learning_rate': 0.0010001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:2'}",ead679f35d803cbeb5bb5a781358e3f5
9,training,model_6,2,4,1.509343558764121,0f1b906927365bd08b8946a33c855328,"{'learning_rate': 0.0010001, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:2'}",ead679f35d803cbeb5bb5a781358e3f5
